t,p_1,p_2,mob_A,imm_A,diss_A,seal_A,mob_B,imm_B,diss_B,seal_B,M_C,total_CO2_mass
68400,111933,105255,0.00172101,0,0.00176552,0.000312891,2.92E-05,0,0.002285083,9.21E-05,0.564625015,0.009256
69000,111933,105255,0.00171672,0,0.001772426,0.000313101,2.86E-05,0,0.002282496,9.15E-05,0.567999537,0.009257
69600,111932,105255,0.00171254,0,0.001779209,0.000313316,2.80E-05,0,0.002279881,9.09E-05,0.57131711,0.009257
70200,111931,105255,0.00170828,0,0.001786055,0.000313537,2.74E-05,0,0.002277292,9.02E-05,0.574565791,0.009257
70800,111930,105255,0.00170403,0,0.001792937,0.000313763,2.68E-05,0,0.002274669,8.96E-05,0.577749907,0.009257
71400,111928,105255,0.00169973,0,0.001799875,0.000313996,2.63E-05,0,0.002271942,8.90E-05,0.580871282,0.009258
72000,111928,105255,0.00169541,0,0.001806901,0.000314234,2.58E-05,0,0.002269272,8.84E-05,0.583950025,0.009258
72600,111927,105255,0.00169123,0,0.001813844,0.000314478,2.53E-05,0,0.002266598,8.78E-05,0.586984539,0.009258
73200,111925,105255,0.00168706,0,0.001820763,0.000314728,2.47E-05,0,0.002263896,8.72E-05,0.58995444,0.009258
73800,111925,105255,0.00168318,0,0.001827496,0.000314983,2.42E-05,0,0.002261237,8.66E-05,0.592872246,0.009259
74400,111924,105255,0.00167995,0,0.001833806,0.000315245,2.36E-05,0,0.002258582,8.59E-05,0.595739712,0.009259
75000,111923,105255,0.00167587,0,0.001840714,0.000315514,2.31E-05,0,0.002255912,8.53E-05,0.598550722,0.009259
75600,111922,105255,0.00167175,0,0.001847717,0.000315788,2.26E-05,0,0.002253093,8.47E-05,0.601319509,0.009259
76200,111921,105255,0.0016681,0,0.001854222,0.000316069,2.23E-05,0,0.00225024,8.41E-05,0.604061729,0.00926
76800,111920,105255,0.00166443,0,0.001860641,0.000316356,2.19E-05,0,0.002247372,8.35E-05,0.606754994,0.00926
77400,111919,105255,0.00166132,0,0.001866383,0.00031665,2.15E-05,0,0.002244591,8.29E-05,0.609396287,0.00926
78000,111919,105255,0.00165805,0,0.001872174,0.00031695,2.12E-05,0,0.002241722,8.23E-05,0.611989509,0.00926
78600,111918,105255,0.00165496,0,0.001877915,0.000317257,2.09E-05,0,0.002238886,8.17E-05,0.61454644,0.009261
79200,111917,105255,0.00165178,0,0.00188375,0.00031757,2.06E-05,0,0.002236038,8.11E-05,0.617068705,0.009261
79800,111916,105255,0.00164854,0,0.001889658,0.00031789,2.03E-05,0,0.002233191,8.05E-05,0.619559401,0.009261
80400,111915,105255,0.00164524,0,0.001895628,0.000318217,1.99E-05,0,0.002230291,8.00E-05,0.622015137,0.009261
81000,111914,105255,0.00164211,0,0.001901569,0.00031855,1.96E-05,0,0.002227417,7.94E-05,0.624434883,0.009262
81600,111913,105255,0.00163873,0,0.001907679,0.00031889,1.94E-05,0,0.002224431,7.89E-05,0.626832521,0.009262
82200,111912,105255,0.00163532,0,0.001913877,0.000319236,1.91E-05,0,0.002221443,7.83E-05,0.629209953,0.009262
82800,111911,105255,0.00163182,0,0.00192015,0.00031959,1.89E-05,0,0.002218484,7.78E-05,0.631558024,0.009262
